"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "PostCSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\eslint.config.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\package-lock.json", "JSON", 3240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3241
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 27, 0, 0, 0, 2, 3, 32
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 7, 3, 28
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Functions\Functions.css", "PostCSS", 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 11, 82
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Functions\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Header\Header.module.css", "PostCSS", 0, 0, 0, 0, 0, 121, 0, 0, 0, 14, 16, 151
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Header\NavBarPc\NavBarPc.module.css", "PostCSS", 0, 0, 0, 0, 0, 122, 0, 0, 0, 13, 18, 153
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Header\NavBarPc\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 4, 45
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Header\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Herotxt\Herotxt.css", "PostCSS", 0, 0, 0, 0, 0, 146, 0, 0, 0, 18, 25, 189
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Herotxt\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\History\History.css", "PostCSS", 0, 0, 0, 0, 0, 85, 0, 0, 0, 9, 20, 114
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\History\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 6, 90
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Price\Price.module.css", "PostCSS", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 17, 130
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\Price\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\UI\Button\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\components\UI\CardsSimples\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\context\AppContext.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\context\AppProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 6, 138
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\tsconfig.app.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"d:\OneDrive - Jairo\Heitor\programacao\app empresa\vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 3318, 26, 7, 22, 444, 676, 60, 13, 2, 82, 188, 4838